jugador,seleccion_nacionalidad,altura,fecha_nac,posicion,num_camiseta,mundiales
Aleksander Seliga,Eslovenia,1.87 m,1 de febrero de 1980,Arquero,16,2010
Aleksandr Borodyuk,URSS,,30 de noviembre de 1962,"Delantero, Mediocampista","12, 13","1990, 1994"
Aleksandr Bubnov,URSS,,10 de octubre de 1955,Defensor,6,1986
Aleksandr Chivadze,URSS,,8 de abril de 1955,Defensor,3,"1982, 1986"
Aleksandr Golovin,Rusia,1.80 m,30 de mayo de 1996,Mediocampista,17,2018
Aleksandr Ivanov,URSS,,14 de abril de 1928,Delantero,17,1958
Aleksandr Mostovoi,Rusia,1.81 m,22 de agosto de 1968,Mediocampista,"19, 10","1994, 2002"
Aleksandr Samedov,Rusia,1.74 m,19 de junio de 1984,Mediocampista,19,"2014, 2018"
Aleksandr Uvarov,URSS,,13 de enero de 1960,Arquero,22,1990
Aleksandr Yerokhin,Rusia,1.95 m,13 de octubre de 1989,Mediocampista,21,2018
Aleksandr Zavarov,URSS,,20 de abril de 1961,Mediocampista,9,"1986, 1990"
Aleksei Kozlov,Rusia,1.82 m,16 de noviembre de 1986,Defensor,2,2014
Aleksei Mamykin,URSS,,29 de febrero de 1936,Delantero,16,1962
Aleksei Miranchuk,Rusia,1.82 m,17 de octubre de 1995,Delantero,15,2018
Aleksey Ionov,Rusia,1.77 m,18 de febrero de 1989,Mediocampista,21,2014
Alemao,Brasil,,22 de noviembre de 1961,Mediocampista,"15, 5","1986, 1990"
Alen Boksic,Yugoslavia,1.87 m,21 de enero de 1970,Delantero,"14, 11","1990, 2002"
Ales Ceh,Eslovenia,1.74 m,7 de abril de 1968,Mediocampista,8,2002
Alessandro Altobelli,Italia,,28 de noviembre de 1955,Delantero,18,"1982, 1986"
Alessandro Costacurta,Italia,,24 de abril de 1966,Defensor,"4, 5","1994, 1998"
Alessandro Del Piero,Italia,1.73 m,9 de noviembre de 1974,Delantero,"10, 7","1998, 2002, 2006"
Alessandro Frigerio,Suiza,,15 de noviembre de 1914,Delantero,-,1938
Alessandro Nesta,Italia,1.87 m,19 de marzo de 1976,Defensor,"6, 13","1998, 2002, 2006"
Alessandro Santos,Japón,1.78 m,20 de julio de 1977,"Defensor, Mediocampista",14,"2002, 2006"
Alessio Cerci,Italia,1.80 m,23 de julio de 1987,Delantero,11,2014
Alex Aguinaga,Ecuador,1.72 m,9 de julio de 1968,Mediocampista,10,2002
Alex Czerniatynski,Bélgica,,28 de julio de 1960,Delantero,"21, 11","1982, 1994"
